campaign_name,adset_name,ad_name,spend,impressions,reach,clicks,ctr,cpm,date_start,date_stop,publisher_platform,platform_position,impression_device,cpc
DR SPRING 2,New Traffic Ad Set,DR SPRING,0,4,1,0,0,0,2026-03-18,2026-04-16,audience_network,an_classic,android_smartphone,
DR SPRING 2,New Traffic Ad Set,DR SPRING,0,3,1,0,0,0,2026-03-18,2026-04-16,audience_network,rewarded_video,android_smartphone,
DR SPRING 2,New Traffic Ad Set,DR SPRING,0.01,1,1,0,0,10,2026-03-18,2026-04-16,facebook,facebook_notification,iphone,
DR SPRING 2,New Traffic Ad Set,DR SPRING,0.13,5,5,0,0,26,2026-03-18,2026-04-16,facebook,facebook_reels,android_smartphone,
DR SPRING 2,New Traffic Ad Set,DR SPRING,0.07,5,4,0,0,14,2026-03-18,2026-04-16,facebook,facebook_reels,iphone,
DR SPRING 2,New Traffic Ad Set,DR SPRING,0.08,2,2,0,0,40,2026-03-18,2026-04-16,facebook,facebook_stories,android_smartphone,
DR SPRING 2,New Traffic Ad Set,DR SPRING,0.08,4,4,0,0,20,2026-03-18,2026-04-16,facebook,facebook_stories,iphone,
DR SPRING 2,New Traffic Ad Set,DR SPRING,0.46,18,11,0,0,25.555556,2026-03-18,2026-04-16,facebook,feed,android_smartphone,
DR SPRING 2,New Traffic Ad Set,DR SPRING,2.78,77,43,1,1.298701,36.103896,2026-03-18,2026-04-16,facebook,feed,iphone,2.78
DR SPRING 2,New Traffic Ad Set,DR SPRING,0.02,2,2,0,0,10,2026-03-18,2026-04-16,facebook,instream_video,android_smartphone,
DR SPRING 2,New Traffic Ad Set,DR SPRING,0.25,4,3,0,0,62.5,2026-03-18,2026-04-16,facebook,instream_video,iphone,
DR SPRING 2,New Traffic Ad Set,DR SPRING,0,1,1,0,0,0,2026-03-18,2026-04-16,facebook,marketplace,android_smartphone,
DR SPRING 2,New Traffic Ad Set,DR SPRING,0.01,1,1,0,0,10,2026-03-18,2026-04-16,facebook,marketplace,iphone,
DR SPRING 2,New Traffic Ad Set,DR SPRING,4.85,132,37,1,0.757576,36.742424,2026-03-18,2026-04-16,instagram,feed,android_smartphone,4.85
DR SPRING 2,New Traffic Ad Set,DR SPRING,85.33,424,148,6,1.415094,201.25,2026-03-18,2026-04-16,instagram,feed,iphone,14.221667
DR SPRING 2,New Traffic Ad Set,DR SPRING,0.63,26,15,0,0,24.230769,2026-03-18,2026-04-16,instagram,instagram_reels,android_smartphone,
DR SPRING 2,New Traffic Ad Set,DR SPRING,0.01,3,1,0,0,3.333333,2026-03-18,2026-04-16,instagram,instagram_reels,android_tablet,
DR SPRING 2,New Traffic Ad Set,DR SPRING,4.57,111,53,1,0.900901,41.171171,2026-03-18,2026-04-16,instagram,instagram_reels,iphone,4.57
DR SPRING 2,New Traffic Ad Set,DR SPRING,0.26,29,21,0,0,8.965517,2026-03-18,2026-04-16,instagram,instagram_stories,android_smartphone,
DR SPRING 2,New Traffic Ad Set,DR SPRING,10.75,301,133,2,0.664452,35.714286,2026-03-18,2026-04-16,instagram,instagram_stories,iphone,5.375
